epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58653,1.10145,3.74866,1.05915,0,0,0,0,0.49202,3.17745,0.88743,0.0962,0.0002,0.0002
2,15.6215,1.11323,1.70453,0.9939,0,0,0,0,0.75093,2.99013,0.91723,0.0914075,0.000407459,0.000407459
3,22.317,0.9868,1.32258,0.95011,0,0,0,0,0.63977,3.11135,0.90065,0.0864606,0.000460574,0.000460574
4,29.0024,0.95441,1.1836,0.95373,0,0,0,0,0.62893,3.17268,0.90992,0.0813344,0.000334435,0.000334435
5,35.589,0.82698,1.02146,0.96998,0,0,0,0,0.57958,3.2854,0.90177,0.0761254,0.000125444,0.000125444
