epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.48756,0.48548,4.1524,0.82534,0,0,0,0,0.54542,4.61322,0.95802,0.0962,0.0002,0.0002
2,14.1948,0.63959,3.20381,0.89905,0,0,0,0,0.72655,4.45644,0.93268,0.0914075,0.000407459,0.000407459
3,20.8713,0.61968,2.5578,0.87563,0,0,0,0,0.40075,4.38614,0.82688,0.0864606,0.000460574,0.000460574
4,27.5549,0.56984,2.05385,0.81774,0,0,0,0,0.32237,4.36021,0.80411,0.0813344,0.000334435,0.000334435
5,34.2728,0.55079,1.90088,0.82091,0,0,0,0,0.31691,4.338,0.79915,0.0761254,0.000125444,0.000125444
